volcano_name,volcano_image,volcano_type,country,region,subregion,epoch_period,last_eruption,summit_m,elevation_ft,latitude,longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km
Huequi,https://volcano.si.edu/gallery/photos/GVP-11062.jpg,Lava dome(s),Chile,South America,Southern Chile and Argentina,holocene,1920 CE,1318,4324,42.377°S,72.578°W,0,7,1076,107960
"Huila, Nevado del",https://volcano.si.edu/gallery/photos/GVP-06802.jpg,Stratovolcano,Colombia,South America,Colombia,holocene,2012 CE,5364,17598,2.93°N,76.03°W,659,3501,56737,4742651
Hulubelu,https://volcano.si.edu/gallery/photos/GVP-04514.jpg,Caldera,Indonesia,Indonesia,Sumatra,holocene,Unknown - Unrest / Holocene,849,2785,5.334°S,104.59°E,56894,56894,99405,4261988
Hululais,https://volcano.si.edu/gallery/photos/GVP-06319.jpg,Compound,Indonesia,Indonesia,Sumatra,holocene,Unknown - Unrest / Holocene,2122,6962,3.247°S,102.239°E,9,21,45038,1566370
"Humeros, Los",https://volcano.si.edu/gallery/photos/GVP-08583.jpg,Caldera(s),Mexico,México and Central America,Mexico,holocene,4470 BCE,3150,10335,19.68°N,97.45°W,7461,27331,566898,5710131
Hunga Tonga-Hunga Ha'apai,https://volcano.si.edu/gallery/photos/GVP-10791.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,2022 CE,114,374,20.536°S,175.382°W,230,230,532,86213
Hunter Island,https://volcano.si.edu/gallery/photos/GVP-12598.jpg,Stratovolcano,France,Melanesia and Australia,Pacific Ocean (southwestern),holocene,1903 CE,297,974,22.4°S,172.05°E,0,0,0,1
Hydrographers Range,https://volcano.si.edu/gallery/photos/GVP-00484.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,holocene,Unknown - Evidence Credible,1915,6283,9°S,148.37°E,585,1428,38537,136167
Iamalele,https://volcano.si.edu/gallery/photos/GVP-10866.jpg,Lava dome(s),Papua New Guinea,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,holocene,Unknown - Evidence Credible,200,656,9.52°S,150.53°E,382,766,8026,113875
Ibu,https://volcano.si.edu/gallery/photos/GVP-10060.jpg,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,2022 CE,1325,4347,1.488°N,127.63°E,1560,14549,64581,637988
Ichinsky,https://volcano.si.edu/gallery/photos/GVP-02527.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,1740 CE,3596,11798,55.678°N,157.718°E,0,0,34,2670
Igwisi Hills,https://volcano.si.edu/gallery/photos/GVP-12579.jpg,Pyroclastic cone(s),Tanzania,Africa and Red Sea,Africa (eastern),holocene,10450 BCE,1146,3760,4.889°S,31.933°E,37034,37034,105827,774440
Ijen,https://volcano.si.edu/gallery/photos/GVP-00781.jpg,Stratovolcano(es),Indonesia,Indonesia,Java,holocene,1999 CE,2769,9085,8.058°S,114.242°E,1098,5504,664199,6846855
Iliamna,https://volcano.si.edu/gallery/photos/GVP-05295.jpg,Stratovolcano,United States,Alaska,Alaska (southwestern),holocene,1876 CE,3053,10016,60.032°N,153.09°W,0,0,1,7564
Iliboleng,https://volcano.si.edu/gallery/photos/GVP-01231.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,1993 CE,1659,5443,8.342°S,123.258°E,30359,87503,260688,757701
Iliinsky,https://volcano.si.edu/gallery/photos/GVP-05754.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,1901 CE,1555,5102,51.498°N,157.203°E,0,0,410,4173
Ililabalekan,https://volcano.si.edu/gallery/photos/GVP-11078.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,Unknown - Unrest / Holocene,1018,3340,8.55°S,123.38°E,7747,14260,123287,756090
Ilimuda,https://volcano.si.edu/gallery/photos/GVP-06341.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,Unknown - Unrest / Holocene,881,2890,8.479°S,122.761°E,32343,72197,263803,903546
Iliwerung,https://volcano.si.edu/gallery/photos/GVP-10071.jpg,Complex,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2021 CE,583,1913,8.532°S,123.573°E,968,4318,79569,665081
Illiniza,https://volcano.si.edu/gallery/photos/GVP-04440.jpg,Stratovolcano,Ecuador,South America,Ecuador,holocene,Unknown - Evidence Credible,5162,16936,0.663°S,78.715°W,535,6034,158371,3941221
Ilopango,https://volcano.si.edu/gallery/photos/GVP-07213.jpg,Caldera,El Salvador,México and Central America,El Salvador and Honduras,holocene,1880 CE,450,1476,13.672°N,89.053°W,2049583,2049583,2948989,6689160
Imbabura,https://volcano.si.edu/gallery/photos/GVP-11699.jpg,Compound,Ecuador,South America,Ecuador,holocene,5550 BCE,4609,15121,0.258°N,78.183°W,538,96294,477043,3245887
Imuruk Lake,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),United States,Alaska,Alaska (western),holocene,300 CE,610,2001,65.517°N,163.45°W,0,0,0,0
"Incahuasi, Nevado de",https://volcano.si.edu/gallery/photos/GVP-11000.jpg,Stratovolcano(es),Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Uncertain,6638,21778,27.033°S,68.296°W,1,11,534,12195
Indian Heaven,https://volcano.si.edu/gallery/photos/GVP-02953.jpg,Shield(s),United States,Canada and Western USA,USA (Washington),holocene,6250 BCE,1806,5925,45.93°N,121.82°W,687,687,6911,2019828
Infiernillo,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Argentina,South America,Central Chile and Argentina,holocene,6890 BCE,3007,9865,35.123°S,69.9°W,270,270,1374,40368
Ingakslugwat Hills,https://volcano.si.edu/gallery/photos/GVP-12317.jpg,Pyroclastic cone(s),United States,Alaska,Alaska (western),holocene,Unknown - Evidence Credible,190,623,61.43°N,164.47°W,0,0,0,4271
Inielika,https://volcano.si.edu/gallery/photos/GVP-10063.jpg,Complex,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2001 CE,1559,5115,8.73°S,120.98°E,4601,27281,162299,818815
Inierie,https://volcano.si.edu/gallery/photos/GVP-10062.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,8050 BCE,2245,7365,8.875°S,120.95°E,1073,7501,101938,809293
Io-Torishima,https://volcano.si.edu/includes/images/noimage.jpg,Complex,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,1968 CE,212,696,27.881°N,128.223°E,0,0,0,52818
Ioto,https://volcano.si.edu/gallery/photos/GVP-09554.jpg,Caldera,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,2012 CE,169,554,24.751°N,141.289°E,1179,1179,1189,1370
Ipala,https://volcano.si.edu/gallery/photos/GVP-04040.jpg,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,1650,5413,14.55°N,89.63°W,3381,25003,332154,6136659
Iraya,https://volcano.si.edu/gallery/photos/GVP-11937.jpg,Stratovolcano,Philippines,Philippines and SE Asia,North of Luzon,holocene,1454 CE,1009,3310,20.469°N,122.01°E,3087,4118,8255,12873
Irazu,https://volcano.si.edu/gallery/photos/GVP-08625.jpg,Stratovolcano,Costa Rica,México and Central America,Costa Rica,holocene,1994 CE,3432,11260,9.979°N,83.852°W,1978,25442,1667528,3432860
Iriga,https://volcano.si.edu/gallery/photos/GVP-01849.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Evidence Credible,1138,3734,13.458°N,123.451°E,3712,142254,1159509,4399866
Irruputuncu,https://volcano.si.edu/gallery/photos/GVP-10977.jpg,Stratovolcano,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,1995 CE,5163,16939,20.73°S,68.55°W,68,239,2852,16017
"Isabel, Isla",https://volcano.si.edu/gallery/photos/GVP-07978.jpg,Tuff cone(s),Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Uncertain,95,312,21.848°N,105.886°W,,,,
Isarog,https://volcano.si.edu/gallery/photos/GVP-01862.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,3500 BCE,1966,6450,13.658°N,123.38°E,146,27806,1208269,4291363
Ischia,https://volcano.si.edu/gallery/photos/GVP-10474.jpg,Complex,Italy,Mediterranean and Western Asia,Italy,holocene,1302 CE,789,2589,40.73°N,13.897°E,18669,20210,383661,5729354
Iskut-Unuk River Cones,https://volcano.si.edu/gallery/photos/GVP-09644.jpg,Pyroclastic cone(s),Canada,Canada and Western USA,Canada,holocene,1800 CE,1880,6168,56.58°N,130.55°W,0,0,0,663
Isluga,https://volcano.si.edu/gallery/photos/GVP-12534.jpg,Stratovolcano,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,1913 CE,5550,18209,19.15°S,68.83°W,1,703,5961,32205
Itasy Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11474.jpg,Pyroclastic cone(s),Madagascar,Middle East and Indian Ocean,Indian Ocean (western),holocene,6050 BCE,1800,5906,19.033°S,46.7°E,129121,129121,249291,4168513
"Ithnayn, Harrat",https://volcano.si.edu/gallery/photos/GVP-10419.jpg,Volcanic field,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),holocene,Unknown - Evidence Credible,1625,5331,26.58°N,40.2°E,3112,3112,3112,19734
Ivao Group,https://volcano.si.edu/gallery/photos/GVP-12457.jpg,Pyroclastic cone(s),Russia,Kuril Islands,Kuril Islands,holocene,Unknown - Evidence Credible,1426,4678,45.77°N,149.68°E,1,10,37,959
Iwakisan,https://volcano.si.edu/gallery/photos/GVP-10845.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1863 CE,1625,5331,40.656°N,140.303°E,918,13229,465065,1617801
Iwatesan,https://volcano.si.edu/gallery/photos/GVP-02063.jpg,Complex,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1919 CE,2038,6686,39.853°N,141.001°E,439,18462,415920,2976795
Ixtepeque,https://volcano.si.edu/gallery/photos/GVP-04039.jpg,Lava dome(s),Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,1292,4239,14.42°N,89.68°W,131906,131906,374232,8263727
Iya,https://volcano.si.edu/gallery/photos/GVP-01222.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,1969 CE,618,2028,8.891°S,121.641°E,10837,46835,62974,535387
Iyang-Argapura,https://volcano.si.edu/gallery/photos/GVP-01138.jpg,Complex,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,3088,10131,7.97°S,113.57°E,372,11959,1601344,10538031
Izalco,https://volcano.si.edu/gallery/photos/GVP-04646.jpg,Stratovolcano,El Salvador,México and Central America,El Salvador and Honduras,holocene,1966 CE,1950,6398,13.813°N,89.633°W,937,55665,1272308,6415818
Iztaccihuatl,https://volcano.si.edu/gallery/photos/GVP-07488.jpg,Stratovolcano,Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Credible,5230,17159,19.179°N,98.642°W,98,1343,1036172,27276280
Izu-Oshima,https://volcano.si.edu/gallery/photos/GVP-09077.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1990 CE,746,2448,34.724°N,139.394°E,2381,8037,8375,11837468
Izu-Tobu,https://volcano.si.edu/gallery/photos/GVP-10529.jpg,Pyroclastic cone(s),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1989 CE,1406,4613,34.9°N,139.098°E,5886,61727,447660,17928355
Izu-Torishima,https://volcano.si.edu/gallery/photos/GVP-10199.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,2002 CE,394,1293,30.484°N,140.303°E,21,21,21,21
Jackson Segment,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),holocene,Unknown - Unrest / Holocene,-3100,-10171,42.15°N,127.05°W,,,,
Jailolo,https://volcano.si.edu/gallery/photos/GVP-11745.jpg,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,993,3258,1.08°N,127.439°E,7459,21868,79855,633186
Jan Mayen,https://volcano.si.edu/gallery/photos/GVP-11990.jpg,Stratovolcano,Norway,Iceland and Arctic Ocean,Atlantic Ocean (Jan Mayen),holocene,1985 CE,2197,7208,71.082°N,8.155°W,0,0,0,0
Jaraguay Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-07561.jpg,Pyroclastic cone(s),Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Credible,960,3150,29.33°N,114.5°W,1933,1933,3141,21934
Jatun Mundo Quri Warani,https://volcano.si.edu/gallery/photos/GVP-12656.jpg,Lava dome(s),Bolivia,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Uncertain,5438,17841,19.78°S,66.48°W,73,341,6186,314777
"Jayu Khota, Laguna",https://volcano.si.edu/gallery/photos/GVP-12655.jpg,Maar(s),Bolivia,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Credible,3650,11975,19.463°S,67.432°W,176,856,6757,70825
Jefferson,https://volcano.si.edu/gallery/photos/GVP-03011.jpg,Stratovolcano,United States,Canada and Western USA,USA (Oregon),holocene,950 CE,3199,10495,44.674°N,121.8°W,0,0,823,556054
Jingbo,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,China,Kamchatka and Mainland Asia,China (eastern),holocene,520 BCE,1000,3281,44.08°N,128.83°E,35038,35038,149132,2372857
Jocotitlan,https://volcano.si.edu/gallery/photos/GVP-07445.jpg,Stratovolcano,Mexico,México and Central America,Mexico,holocene,1270 CE,3900,12795,19.73°N,99.758°W,7220,84108,630469,24986674
Jom-Bolok,https://volcano.si.edu/gallery/photos/GVP-06488.jpg,Volcanic field,Russia,Kamchatka and Mainland Asia,Russia (southeastern),holocene,5180 BCE,2047,6716,52.713°N,99.021°E,0,0,6,3578
Jordan Craters,https://volcano.si.edu/gallery/photos/GVP-10295.jpg,Volcanic field,United States,Canada and Western USA,USA (Oregon),holocene,1250 BCE,1473,4833,43.147°N,117.46°W,0,0,28,232946
Jumaytepeque,https://volcano.si.edu/gallery/photos/GVP-11851.jpg,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Uncertain,1802,5912,14.34°N,90.271°W,11369,79805,429177,7084813
Kaba,https://volcano.si.edu/gallery/photos/GVP-06320.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,2000 CE,1940,6365,3.522°S,102.615°E,278,15352,333750,2608259
Kadovar,https://volcano.si.edu/gallery/photos/GVP-11107.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,holocene,2022 CE,365,1198,3.608°S,144.588°E,0,0,1341,114708
Kagamil,https://volcano.si.edu/gallery/photos/GVP-08541.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1929 CE,893,2930,52.974°N,169.72°W,0,0,0,7
Kaguyak,https://volcano.si.edu/gallery/photos/GVP-05305.jpg,Lava dome(s),United States,Alaska,Alaska Peninsula,holocene,3850 BCE,901,2956,58.608°N,154.028°W,0,0,0,60
Kaikata Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,Unknown - Unrest / Holocene,-165,-541,26.667°N,140.929°E,0,0,0,0
Kaikohe-Bay of Islands,https://volcano.si.edu/gallery/photos/GVP-00331.jpg,Volcanic field,New Zealand,New Zealand to Fiji,New Zealand,holocene,400 CE,388,1273,35.3°S,173.9°E,13786,13786,18679,133899
Kaitoku Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1984 CE,-95,-312,26.127°N,141.102°E,0,0,0,160
Kalatungan,https://volcano.si.edu/gallery/photos/GVP-12605.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,Unknown - Evidence Uncertain,2824,9265,7.95°N,124.8°E,418,27005,359527,5273061
Kama'ehuakanaloa,https://volcano.si.edu/gallery/photos/GVP-03400.jpg,Submarine,United States,Hawaii and Pacific Ocean,Hawaiian Islands,holocene,1996 CE,-975,-3199,18.92°N,155.27°W,0,0,0,105623
Kambalny,https://volcano.si.edu/gallery/photos/GVP-05950.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,2017 CE,2116,6942,51.306°N,156.875°E,0,20,572,4525
Kamen,https://volcano.si.edu/gallery/photos/GVP-05706.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,Unknown - Evidence Credible,4585,15043,56.02°N,160.593°E,0,0,63,11138
Kana Keoki,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Solomon Islands,Melanesia and Australia,Bougainville and Solomon Islands,holocene,Unknown - Evidence Credible,-700,-2297,8.75°S,157.03°E,0,0,378,63959
Kanaga,https://volcano.si.edu/gallery/photos/GVP-09552.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,2012 CE,1307,4288,51.923°N,177.168°W,0,0,0,0
Kanlaon,https://volcano.si.edu/gallery/photos/GVP-11934.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Central Philippines,holocene,2017 CE,2435,7989,10.412°N,123.132°E,1662,40276,923257,9345000
Kao,https://volcano.si.edu/gallery/photos/GVP-11432.jpg,Stratovolcano,Tonga,New Zealand to Fiji,Tonga Islands,holocene,1847 CE,1009,3310,19.668°S,175.016°W,236,1170,1563,8602
Karaca Dag,https://volcano.si.edu/gallery/photos/GVP-12568.jpg,Shield,Turkey,Mediterranean and Western Asia,Turkey,holocene,Unknown - Evidence Credible,1957,6421,37.67°N,39.83°E,2157,6718,93286,2344496
Karang,https://volcano.si.edu/gallery/photos/GVP-11426.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Uncertain,1768,5801,6.268°S,106.05°E,1006,73942,1753655,23398992
Karangetang,https://volcano.si.edu/gallery/photos/GVP-10137.jpg,Stratovolcano,Indonesia,Indonesia,Sangihe Islands,holocene,2022 CE,1797,5896,2.781°N,125.407°E,892,4478,11066,65667
Karapinar Field,https://volcano.si.edu/gallery/photos/GVP-10144.jpg,Pyroclastic cone(s),Turkey,Mediterranean and Western Asia,Turkey,holocene,Unknown - Evidence Credible,1302,4272,37.667°N,33.6°E,46013,46013,73698,1220961
Karisimbi,https://volcano.si.edu/gallery/photos/GVP-11189.jpg,Stratovolcano,DR Congo,Africa and Red Sea,Africa (central),holocene,8050 BCE,4490,14731,1.506°S,29.45°E,9657,85615,1198124,10835260
Karkar,https://volcano.si.edu/gallery/photos/GVP-00441.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,holocene,2014 CE,1839,6033,4.649°S,145.964°E,5,4159,20127,189841
Karpinsky Group,https://volcano.si.edu/gallery/photos/GVP-09162.jpg,Cone(s),Russia,Kuril Islands,Kuril Islands,holocene,1952 CE,1326,4350,50.148°N,155.373°E,0,104,516,1853
Karthala,https://volcano.si.edu/gallery/photos/GVP-11589.jpg,Shield,Comoros,Middle East and Indian Ocean,Indian Ocean (western),holocene,2007 CE,2361,7746,11.75°S,43.38°E,225379,225379,278330,399067
Karymsky,https://volcano.si.edu/gallery/photos/GVP-05760.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,2022 CE,1513,4964,54.049°N,159.443°E,0,0,291,10848
Kasatochi,https://volcano.si.edu/gallery/photos/GVP-08563.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,2008 CE,314,1030,52.177°N,175.508°W,0,0,0,276
Kasuga 1,https://volcano.si.edu/gallery/photos/GVP-10589.jpg,Submarine,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1959 CE,-598,-1962,21.765°N,143.71°E,0,0,0,0
Kasuga 2,https://volcano.si.edu/gallery/photos/GVP-11696.jpg,Submarine,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,Unknown - Evidence Credible,-274,-899,21.6°N,143.637°E,0,0,0,0
Katla,https://volcano.si.edu/gallery/photos/GVP-07542.jpg,Subglacial,Iceland,Iceland and Arctic Ocean,Iceland (southern),holocene,1918 CE,1490,4888,63.633°N,19.083°W,0,0,473,11326
Katmai,https://volcano.si.edu/gallery/photos/GVP-05308.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,1912 CE,2047,6716,58.28°N,154.963°W,0,0,0,128
Katunga,https://volcano.si.edu/includes/images/noimage.jpg,Tuff cone,Uganda,Africa and Red Sea,Africa (central),holocene,Unknown - Evidence Credible,1707,5600,0.471°S,30.191°E,9430,144953,657740,5787434
Katwe-Kikorongo,https://volcano.si.edu/gallery/photos/GVP-12068.jpg,Tuff cone(s),Uganda,Africa and Red Sea,Africa (central),holocene,Unknown - Evidence Credible,1067,3501,0.08°S,29.92°E,446218,446218,578503,6241035
Kavachi,https://volcano.si.edu/gallery/photos/GVP-11611.jpg,Submarine,Solomon Islands,Melanesia and Australia,Bougainville and Solomon Islands,holocene,2021 CE,-20,-66,8.991°S,157.979°E,6,6,802,50014
Kawi-Butak,https://volcano.si.edu/gallery/photos/GVP-09265.jpg,Stratovolcano(es),Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,2651,8698,7.92°S,112.45°E,507,127978,2927446,24141573
Kazbek,https://volcano.si.edu/gallery/photos/GVP-10275.jpg,Stratovolcano,Georgia,Mediterranean and Western Asia,Western Asia,holocene,750 BCE,5050,16568,42.7°N,44.5°E,0,9,7693,1749897
Kelimutu,https://volcano.si.edu/gallery/photos/GVP-00869.jpg,Complex,Indonesia,Indonesia,Lesser Sunda Islands,holocene,1968 CE,1639,5377,8.77°S,121.82°E,746,9896,118605,606946
Kelud,https://volcano.si.edu/gallery/photos/GVP-01733.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,2014 CE,1730,5676,7.935°S,112.314°E,279,50901,2087876,24999627
Keluo Group,https://volcano.si.edu/gallery/photos/GVP-12645.jpg,Pyroclastic cone(s),China,Kamchatka and Mainland Asia,China (eastern),holocene,Unknown - Evidence Credible,670,2198,49.37°N,125.92°E,20323,20323,72863,994984
Kendang,https://volcano.si.edu/gallery/photos/GVP-11711.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,2594,8510,7.245°S,107.709°E,7758,89790,2601697,21174023
Kerguelen Islands,https://volcano.si.edu/gallery/photos/GVP-10422.jpg,Stratovolcano(es),France,Middle East and Indian Ocean,Indian Ocean (southern),holocene,Unknown - Evidence Uncertain,1840,6037,49.58°S,69.5°E,0,0,0,0
Kerinci,https://volcano.si.edu/gallery/photos/GVP-12030.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,2021 CE,3800,12467,1.697°S,101.264°E,304,33878,264107,1437454
Ketoi,https://volcano.si.edu/gallery/photos/GVP-12461.jpg,Stratovolcano,Russia,Kuril Islands,Kuril Islands,holocene,1960 CE,1172,3845,47.35°N,152.475°E,1,10,11,90
Khangar,https://volcano.si.edu/gallery/photos/GVP-02526.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,1500 CE,1967,6453,54.761°N,157.407°E,0,0,38,11805
Khanuy Gol,https://volcano.si.edu/gallery/photos/GVP-10776.jpg,Volcanic field,Mongolia,Kamchatka and Mainland Asia,Mongolia,holocene,Unknown - Evidence Credible,1886,6188,48.67°N,102.75°E,6120,6120,6120,66243
Kharimkotan,https://volcano.si.edu/gallery/photos/GVP-08635.jpg,Stratovolcano,Russia,Kuril Islands,Kuril Islands,holocene,1933 CE,1145,3757,49.12°N,154.508°E,2,2,4,22
"Khaybar, Harrat",https://volcano.si.edu/gallery/photos/GVP-11905.jpg,Volcanic field,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),holocene,650 CE,2093,6867,25.5°N,40°E,13619,13619,13619,1415732
Khodutka,https://volcano.si.edu/gallery/photos/GVP-05716.jpg,Stratovolcano(es),Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,300 BCE,2039,6690,52.062°N,157.711°E,0,0,187,3525
Kialagvik,https://volcano.si.edu/gallery/photos/GVP-09533.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,Unknown - Evidence Credible,1677,5502,57.203°N,156.745°W,0,0,0,71
Kick 'em Jenny,https://volcano.si.edu/gallery/photos/GVP-11889.jpg,Submarine,Grenada,West Indies,West Indies,holocene,2017 CE,-185,-607,12.3°N,61.64°W,0,4687,72786,104256
Kikai,https://volcano.si.edu/gallery/photos/GVP-08757.jpg,Caldera,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,2020 CE,704,2310,30.793°N,130.305°E,152,152,152,1002905
Kikhpinych,https://volcano.si.edu/gallery/photos/GVP-10624.jpg,Stratovolcano(es),Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,1550 CE,1515,4970,54.489°N,160.251°E,0,29,687,4322
Kilauea,https://volcano.si.edu/gallery/photos/GVP-09869.jpg,Shield,United States,Hawaii and Pacific Ocean,Hawaiian Islands,holocene,2022 CE,1222,4009,19.421°N,155.287°W,3122,3122,8495,169550
Kinenin,https://volcano.si.edu/gallery/photos/GVP-12062.jpg,Maar,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,850 CE,583,1913,57.35°N,160.97°E,0,0,94,3650
Kirishimayama,https://volcano.si.edu/gallery/photos/GVP-08954.jpg,Shield,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,2018 CE,1700,5577,31.934°N,130.862°E,647,8415,407050,3972044
"Kishb, Harrat",https://volcano.si.edu/gallery/photos/GVP-10427.jpg,Volcanic field,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),holocene,Unknown - Evidence Credible,1475,4839,22.8°N,41.38°E,8028,8028,8028,25048
Kiska,https://volcano.si.edu/gallery/photos/GVP-08557.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1990 CE,1220,4003,52.103°N,177.602°E,0,0,0,0
Kita-Bayonnaise,https://volcano.si.edu/gallery/photos/GVP-09568.jpg,Submarine,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,Unknown - Evidence Uncertain,-360,-1181,32.1°N,139.85°E,0,0,0,232
Kita-Fukutokutai,https://volcano.si.edu/gallery/photos/GVP-10783.jpg,Submarine,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1954 CE,-73,-240,24.417°N,141.417°E,0,0,23,1209
Kita-Ioto,https://volcano.si.edu/gallery/photos/GVP-10777.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1945 CE,792,2598,25.424°N,141.284°E,158,162,162,1210
Kizimen,https://volcano.si.edu/gallery/photos/GVP-10358.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,2013 CE,2334,7657,55.131°N,160.32°E,0,26,197,5564
Klabat,https://volcano.si.edu/gallery/photos/GVP-11200.jpg,Stratovolcano,Indonesia,Indonesia,Sulawesi,holocene,Unknown - Unrest / Holocene,1968,6457,1.454°N,125.031°E,1352,39935,822740,1326026
Klyuchevskoy,https://volcano.si.edu/gallery/photos/GVP-02504.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,2021 CE,4754,15597,56.056°N,160.642°E,0,0,292,12406
